id|date|time|venue|attendance
brazil-vs-croatia-731767|june 12, 2014|4 p.m.|arena de são paulo|62,103
mexico-vs-cameroon-731768|june 13, 2014|12 p.m.|arena das dunas|39,216
spain-vs-netherlands-731769|june 13, 2014|3 p.m.|arena fonte nova|48,173
chile-vs-australia-731770|june 13, 2014|6 p.m.|arena pantanal|40,275
colombia-vs-greece-731771|june 14, 2014|12 p.m.|estadio mineirão|57,174
ivory-coast-vs-japan-731772|june 14, 2014|9 p.m.|arena pernambuco|40,267
uruguay-vs-costa-rica-731773|june 14, 2014|3 p.m.|castelão|58,679
england-vs-italy-731774|june 14, 2014|6 p.m.|arena amazonia|39,800
switzerland-vs-ecuador-731775|june 15, 2014|12 p.m.|estádio nacional mané garrincha|68,351
france-vs-honduras-731776|june 15, 2014|3 p.m.|estadio beira-rio|43,012
argentina-vs-bosnia-herz-731777|june 15, 2014|6 p.m.|estadio do maracanã|74,738
iran-vs-nigeria-731778|june 16, 2014|3 p.m.|arena da baixada|38,081
germany-vs-portugal-731779|june 16, 2014|12 p.m.|arena fonte nova|51,081
ghana-vs-usa-731780|june 16, 2014|6 p.m.|arena das dunas|39,760
belgium-vs-algeria-731781|june 17, 2014|12 p.m.|estadio mineirão|56,800
russia-vs-south-korea-731782|june 17, 2014|6 p.m.|arena pantanal|37,603
brazil-vs-mexico-731783|june 17, 2014|3 p.m.|castelão|60,342
cameroon-vs-croatia-731784|june 18, 2014|6 p.m.|arena amazonia|
spain-vs-chile-731785|june 18, 2014|3 p.m.|estadio do maracanã|74,101
australia-vs-netherlands-731786|june 18, 2014|12 p.m.|estadio beira-rio|42,877
colombia-vs-ivory-coast-731787|june 19, 2014|12 p.m.|estádio nacional mané garrincha|68,748
japan-vs-greece-731788|june 19, 2014|6 p.m.|arena das dunas|39,485
uruguay-vs-england-731789|june 19, 2014|3 p.m.|arena de são paulo|62,575
italy-vs-costa-rica-731790|june 20, 2014|12 p.m.|arena pernambuco|40,285
switzerland-vs-france-731791|june 20, 2014|3 p.m.|arena fonte nova|51,003
honduras-vs-ecuador-731792|june 20, 2014|6 p.m.|arena da baixada|39,224
argentina-vs-iran-731793|june 21, 2014|12 p.m.|estadio mineirão|57,698
nigeria-vs-bosnia-herz-731794|june 21, 2014|6 p.m.|arena pantanal|40,499
germany-vs-ghana-731795|june 21, 2014|3 p.m.|castelão|59,621
usa-vs-portugal-731796|june 22, 2014|6 p.m.|arena amazonia|40,123
belgium-vs-russia-731797|june 22, 2014|12 p.m.|estadio do maracanã|73,819
south-korea-vs-algeria-731798|june 22, 2014|3 p.m.|estadio beira-rio|42,732
cameroon-vs-brazil-731799|june 23, 2014|4 p.m.|estádio nacional mané garrincha|
croatia-vs-mexico-731800|june 23, 2014|4 p.m.|arena pernambuco|41,212
australia-vs-spain-731801|june 23, 2014|12 p.m.|arena da baixada|39,375
netherlands-vs-chile-731802|june 23, 2014|12 p.m.|arena de são paulo|62,996
japan-vs-colombia-731803|june 24, 2014|4 p.m.|arena pantanal|40,340
greece-vs-ivory-coast-731804|june 24, 2014|4 p.m.|castelão|59,095
italy-vs-uruguay-731805|june 24, 2014|12 p.m.|arena das dunas|39,706
costa-rica-vs-england-731806|june 24, 2014|12 p.m.|estadio mineirão|57,823
honduras-vs-switzerland-731807|june 25, 2014|4 p.m.|arena amazonia|40,322
ecuador-vs-france-731808|june 25, 2014|4 p.m.|estadio do maracanã|73,749
nigeria-vs-argentina-731809|june 25, 2014|12 p.m.|estadio beira-rio|43,285
bosnia-herz-vs-iran-731810|june 25, 2014|12 p.m.|arena fonte nova|48,011
usa-vs-germany-731811|june 26, 2014|12 p.m.|arena pernambuco|41,876
portugal-vs-ghana-731812|june 26, 2014|12 p.m.|estádio nacional mané garrincha|67,540
south-korea-vs-belgium-731813|june 26, 2014|4 p.m.|arena de são paulo|61,397
algeria-vs-russia-731814|june 26, 2014|4 p.m.|arena da baixada|39,311
brazil-vs-chile-731815|june 28, 2014|12 p.m.|estadio mineirão|57,714
colombia-vs-uruguay-731816|june 28, 2014|4 p.m.|estadio do maracanã|73,804
netherlands-vs-mexico-731817|june 29, 2014|12 p.m.|castelão|58,817
costa-rica-vs-greece-731818|june 29, 2014|4 p.m.|arena pernambuco|41,242
france-vs-nigeria-731819|june 30, 2014|12 p.m.|estádio nacional mané garrincha|67,882
germany-vs-algeria-731820|june 30, 2014|4 p.m.|estadio beira-rio|43,063
argentina-vs-switzerland-731821|july 01, 2014|12 p.m.|arena de são paulo|63,255
belgium-vs-usa-731822|july 01, 2014|4 p.m.|arena fonte nova|51,227
brazil-vs-colombia-731823|july 04, 2014|4 p.m.|castelão|60,342
france-vs-germany-731824|july 04, 2014|12 p.m.|estadio do maracanã|74,240
netherlands-vs-costa-rica-731825|july 05, 2014|4 p.m.|arena fonte nova|51,179
argentina-vs-belgium-731826|july 05, 2014|12 p.m.|estádio nacional mané garrincha|68,551
brazil-vs-germany-731827|july 08, 2014|4 p.m.|estadio mineirão|58,141
netherlands-vs-argentina-731828|july 09, 2014|4 p.m.|arena de são paulo|63,267
brazil-vs-netherlands-731829|july 12, 2014|4 p.m.|estádio nacional mané garrincha|68,034
germany-vs-argentina-731830|july 13, 2014|3 p.m.|estadio do maracanã|74,738
